experiment_id,status,blocker_detail
E01,VERIFIED_PASS,None
E02,VERIFIED_FAIL,Non-deterministic execution: 59734/60000 mismatches
E03,VERIFIED_FAIL,Missing D1-A C D E F data points
E04,VERIFIED_FAIL,Zero cold-start samples in Seed 1
E05,VERIFIED_FAIL,Missing metric unit tests for M3/M5/M6/M9
E06,BLOCKED_BY_PHASE0,Dependency on E03 generator validation
E07,VERIFIED_FAIL,Missing 32 protocol parameters and canonical-registry incompleteness
E08,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E09,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E10,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E11,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E12,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E13,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E14,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E15,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E16,DATA_UNAVAILABLE,D2 real participant data not provided
E17,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E18,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E19,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E20,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E21,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E22,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E23,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E24,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E25,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E26,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E27,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E28,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E29,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E30,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E31,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E32,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E33,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E34,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E35,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E36,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E37,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E38,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E39,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E40,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E41,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E42,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E43,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E44,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E45,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E46,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E47,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E48,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E49,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E50,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E51,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E52,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E53,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E54,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E55,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
E56,BLOCKED_BY_PHASE0,Phase 0 Hard Gate Failure
